form,root,pos,modification,form_IAST,root_IAST
aMSayitvA,aMSa,gerund,,aṃśayitvā,aṃśa
aktvA,aYc,gerund,,aktvā,añc
aktvA,aYj,gerund,,aktvā,añj
agadyitvA,agada,gerund,,agadyitvā,agada
aGAyitvA,aGa,gerund,,aghāyitvā,agha
aNkayitvA,aNka,gerund,,aṅkayitvā,aṅka
aNKayitvA,aNKa,gerund,,aṅkhayitvā,aṅkha
aNgitvA,aNg,gerund,,aṅgitvā,aṅg
ajitvA,aj,gerund,,ajitvā,aj
ajirAyitvA,ajira,gerund,,ajirāyitvā,ajira
aYcayitvA,aYc,gerund,caus,añcayitvā,añc
aYcitvA,aYc,gerund,,añcitvā,añc
aYjayitvA,aYj,gerund,caus,añjayitvā,añj
aYjitvA,aYj,gerund,,añjitvā,añj
awitvA,aw,gerund,,aṭitvā,aṭ
atitvA,at,gerund,,atitvā,at
attvA,ad#1,gerund,,attvā,ad#1
aDvarIyitvA,aDvara,gerund,,adhvarīyitvā,adhvara
aDvaryitvA,aDvara,gerund,,adhvaryitvā,adhvara
anitvA,an#2,gerund,,anitvā,an#2
aninizitvA,an#2,gerund,desid,aniniṣitvā,an#2
anDayitvA,anDa,gerund,,andhayitvā,andha
apsarAyitvA,apsaras,gerund,,apsarāyitvā,apsaras
aBrAyitvA,aBra,gerund,,abhrāyitvā,abhra
amitrayitvA,amitra,gerund,,amitrayitvā,amitra
amitvA,am,gerund,,amitvā,am
aririzitvA,f,gerund,desid,aririṣitvā,ṛ
arcayitvA,fc#1,gerund,caus,arcayitvā,ṛc#1
arcicizitvA,fc#1,gerund,desid,arciciṣitvā,ṛc#1
arcitvA,fc#1,gerund,,arcitvā,ṛc#1
arjayitvA,fj,gerund,caus,arjayitvā,ṛj
arjitvA,fj,gerund,,arjitvā,ṛj
arTayitvA,arT,gerund,,arthayitvā,arth
arditvA,ard,gerund,,arditvā,ard
arDayitvA,fD,gerund,caus,ardhayitvā,ṛdh
arDitvA,fD,gerund,,ardhitvā,ṛdh
arpayitvA,f,gerund,caus,arpayitvā,ṛ
arhayitvA,arh,gerund,caus,arhayitvā,arh
arhitvA,arh,gerund,,arhitvā,arh
avitvA,av,gerund,,avitvā,av
aSanAyitvA,aSana#2,gerund,,aśanāyitvā,aśana#2
aSanIyitvA,aSana#2,gerund,,aśanīyitvā,aśana#2
aSitvA,aS#1,gerund,,aśitvā,aś#1
aSitvA,aS#2,gerund,,aśitvā,aś#2
aSvasyitvA,aSva,gerund,,aśvasyitvā,aśva
aSvAyitvA,aSva,gerund,,aśvāyitvā,aśva
azwvA,aS#1,gerund,,aṣṭvā,aś#1
asitvA,as#2,gerund,,asitvā,as#2
asUyitvA,asUya,gerund,,asūyitvā,asūya
astvA,as#2,gerund,,astvā,as#2
AkarRayitvA,AkarRa,gerund,,ākarṇayitvā,ākarṇa
AkulayitvA,Akula,gerund,,ākulayitvā,ākula
AdayitvA,ad#1,gerund,caus,ādayitvā,ad#1
AnayitvA,an#2,gerund,caus,ānayitvā,an#2
ApayitvA,Ap,gerund,caus,āpayitvā,āp
AptvA,Ap,gerund,,āptvā,āp
AmayitvA,am,gerund,caus,āmayitvā,am
AvayitvA,av,gerund,caus,āvayitvā,av
AvilayitvA,Avila,gerund,,āvilayitvā,āvila
ASayitvA,aS#2,gerund,caus,āśayitvā,aś#2
AsayitvA,As#2,gerund,caus,āsayitvā,ās#2
AsayitvA,as#2,gerund,caus,āsayitvā,as#2
AsitvA,As#2,gerund,,āsitvā,ās#2
iNgayitvA,iNg,gerund,caus,iṅgayitvā,iṅg
iNgitvA,iNg,gerund,,iṅgitvā,iṅg
itvA,i,gerund,,itvā,i
idDvA,inD,gerund,,iddhvā,indh
intvA,in,gerund,,intvā,in
inditvA,ind,gerund,,inditvā,ind
invitvA,inv,gerund,,invitvā,inv
irasyitvA,iras,gerund,,irasyitvā,iras
ilayitvA,il,gerund,caus,ilayitvā,il
iltvA,il,gerund,,iltvā,il
izayitvA,iz#1,gerund,caus,iṣayitvā,iṣ#1
izayitvA,iz#2,gerund,caus,iṣayitvā,iṣ#2
izuDyitvA,izuDi,gerund,,iṣudhyitvā,iṣudhi
izwvA,iz#1,gerund,,iṣṭvā,iṣ#1
izwvA,yaj#1,gerund,,iṣṭvā,yaj#1
IkzitvA,Ikz,gerund,,īkṣitvā,īkṣ
INKayitvA,INK,gerund,caus,īṅkhayitvā,īṅkh
INKitvA,INK,gerund,,īṅkhitvā,īṅkh
IqitvA,Iq,gerund,,īḍitvā,īḍ
IpsitvA,Ap,gerund,desid,īpsitvā,āp
IrayitvA,Ir,gerund,caus,īrayitvā,īr
IritvA,Ir,gerund,,īritvā,īr
IrzitvA,Irz,gerund,,īrṣitvā,īrṣ
ISitvA,IS#1,gerund,,īśitvā,īś#1
IzitvA,Iz,gerund,,īṣitvā,īṣ
IhitvA,Ih,gerund,,īhitvā,īh
uktvA,vac,gerund,,uktvā,vac
ukzitvA,ukz,gerund,,ukṣitvā,ukṣ
ujJitvA,ujJ,gerund,,ujjhitvā,ujjh
uYCitvA,uYC,gerund,,uñchitvā,uñch
utkaRWayitvA,utkaRW,gerund,caus,utkaṇṭhayitvā,utkaṇṭh
utkaRWitvA,utkaRW,gerund,,utkaṇṭhitvā,utkaṇṭh
uttvA,und,gerund,,uttvā,und
utvA,vA#3,gerund,,utvā,vā#3
udakIyitvA,udaka,gerund,,udakīyitvā,udaka
udanyitvA,udan,gerund,,udanyitvā,udan
uditvA,vad,gerund,,uditvā,vad
unttvA,und,gerund,,unttvā,und
unmanAyitvA,unmanas,gerund,,unmanāyitvā,unmanas
uptvA,vap#1,gerund,,uptvā,vap#1
uptvA,vap#2,gerund,,uptvā,vap#2
ubDvA,umB,gerund,,ubdhvā,umbh
umBitvA,umB,gerund,,umbhitvā,umbh
urasyitvA,uras,gerund,,urasyitvā,uras
uruzwvA,uruz,gerund,,uruṣṭvā,uruṣ
uzasyitvA,uzas,gerund,,uṣasyitvā,uṣas
uzitvA,vas#1,gerund,,uṣitvā,vas#1
uzitvA,vas#4,gerund,,uṣitvā,vas#4
