form,root,pos,modification,form_IAST,root_IAST
aMSayitum,aMSa,infinitive,,aṃśayitum,aṃśa
aMSya,aMSa,gerund,,aṃśya,aṃśa
akya,aYc,gerund,,akya,añc
akzitum,akz,infinitive,,akṣitum,akṣ
agadya,agada,gerund,,agadya,agada
agadyitum,agada,infinitive,,agadyitum,agada
aGAyitum,aGa,infinitive,,aghāyitum,agha
aGya,aGa,gerund,,aghya,agha
aNkayitum,aNka,infinitive,,aṅkayitum,aṅka
aNktum,aYj,infinitive,,aṅktum,añj
aNkya,aNka,gerund,,aṅkya,aṅka
aNKayitum,aNKa,infinitive,,aṅkhayitum,aṅkha
aNKya,aNKa,gerund,,aṅkhya,aṅkha
aNgitum,aNg,infinitive,,aṅgitum,aṅg
aNgya,aNg,gerund,,aṅgya,aṅg
acya,aYc,gerund,,acya,añc
ajitum,aj,infinitive,,ajitum,aj
ajirAyitum,ajira,infinitive,,ajirāyitum,ajira
ajirya,ajira,gerund,,ajirya,ajira
ajya,aj,gerund,,ajya,aj
ajya,aYj,gerund,,ajya,añj
aYcayitum,aYc,infinitive,caus,añcayitum,añc
aYcitum,aYc,infinitive,,añcitum,añc
aYcya,aYc,gerund,caus,añcya,añc
aYjayitum,aYj,infinitive,caus,añjayitum,añj
aYjitum,aYj,infinitive,,añjitum,añj
aYjya,aYj,gerund,caus,añjya,añj
awitum,aw,infinitive,,aṭitum,aṭ
awya,aw,gerund,,aṭya,aṭ
atitum,at,infinitive,,atitum,at
attum,ad#1,infinitive,,attum,ad#1
atya,at,gerund,,atya,at
adya,ad#1,gerund,,adya,ad#1
aDvarIyitum,aDvara,infinitive,,adhvarīyitum,adhvara
aDvarya,aDvara,gerund,,adhvarya,adhvara
aDvaryitum,aDvara,infinitive,,adhvaryitum,adhvara
anitum,an#2,infinitive,,anitum,an#2
aninizitum,an#2,infinitive,desid,aniniṣitum,an#2
aninizya,an#2,gerund,desid,aniniṣya,an#2
anDayitum,anDa,infinitive,,andhayitum,andha
anDya,anDa,gerund,,andhya,andha
anya,an#2,gerund,,anya,an#2
apsaraya,apsaras,gerund,,apsaraya,apsaras
apsarAyitum,apsaras,infinitive,,apsarāyitum,apsaras
aBrAyitum,aBra,infinitive,,abhrāyitum,abhra
aBrya,aBra,gerund,,abhrya,abhra
amitrayitum,amitra,infinitive,,amitrayitum,amitra
amitrya,amitra,gerund,,amitrya,amitra
amItum,am,infinitive,,amītum,am
aririzitum,f,infinitive,desid,aririṣitum,ṛ
aririzya,f,gerund,desid,aririṣya,ṛ
arcayitum,fc#1,infinitive,caus,arcayitum,ṛc#1
arcayya,fc#1,gerund,caus,arcayya,ṛc#1
arcicizitum,fc#1,infinitive,desid,arciciṣitum,ṛc#1
arcicizya,fc#1,gerund,desid,arciciṣya,ṛc#1
arcitum,fc#1,infinitive,,arcitum,ṛc#1
arcya,fc#1,gerund,,arcya,ṛc#1
arjayitum,fj,infinitive,caus,arjayitum,ṛj
arjitum,fj,infinitive,,arjitum,ṛj
arjya,fj,gerund,caus,arjya,ṛj
artum,f,infinitive,,artum,ṛ
arTayitum,arT,infinitive,,arthayitum,arth
arTya,arT,gerund,,arthya,arth
arditum,ard,infinitive,,arditum,ard
ardya,ard,gerund,,ardya,ard
arDayitum,fD,infinitive,caus,ardhayitum,ṛdh
arDayya,fD,gerund,caus,ardhayya,ṛdh
arDitum,fD,infinitive,,ardhitum,ṛdh
arpayitum,f,infinitive,caus,arpayitum,ṛ
arpayya,f,gerund,caus,arpayya,ṛ
arzitum,fz,infinitive,,arṣitum,ṛṣ
arhayitum,arh,infinitive,caus,arhayitum,arh
arhitum,arh,infinitive,,arhitum,arh
arhya,arh,gerund,,arhya,arh
avitum,av,infinitive,,avitum,av
avya,av,gerund,,avya,av
aSanAyitum,aSana#2,infinitive,,aśanāyitum,aśana#2
aSanIyitum,aSana#2,infinitive,,aśanīyitum,aśana#2
aSanya,aSana#2,gerund,,aśanya,aśana#2
aSitum,aS#1,infinitive,,aśitum,aś#1
aSitum,aS#2,infinitive,,aśitum,aś#2
