name,name_IAST
aMSAMsi,aṃśāṃsi
akasmAt,akasmāt
akARqe,akāṇḍe
akAmatas,akāmatas
akAraRam,akāraṇam
akAraRAt,akāraṇāt
akAraRe,akāraṇe
akAraRena,akāraṇena
akAlakzepam,akālakṣepam
akAlatas,akālatas
akAlahInam,akālahīnam
akAlikam,akālikam
akAle,akāle
akutaScid,akutaścid
akutas,akutas
akftakAram,akṛtakāram
aktuBis,aktubhis
aktos,aktos
akramam,akramam
akramaSas,akramaśas
akzapari,akṣapari
akzayyam,akṣayyam
akzaraSas,akṣaraśas
akzasaNgam,akṣasaṅgam
akzinikARam,akṣinikāṇam
akzipat,akṣipat
akzRayA,akṣṇayā
aKilena,akhilena
aKKala,akhkhala
agatyA,agatyā
agoHprApaRam,agoḥprāpaṇam
agocareRa,agocareṇa
agnisAt,agnisāt
agratas,agratas
agratas,agratas
agram,agram
agraSas,agraśas
agre,agre
agre,agre
agreRa,agreṇa
aGos,aghos
aNga,aṅga
aNgaSas,aṅgaśas
aNgasamAKyAyam,aṅgasamākhyāyam
aNgANgi,aṅgāṅgi
aNgirasvat,aṅgirasvat
aciram,aciram
acirAt,acirāt
acireRa,acireṇa
acCidreRa,acchidreṇa
ajasram,ajasram
ajasreRa,ajasreṇa
ajiram,ajiram
ajYAtam,ajñātam
ajYAtvA,ajñātvā
ajYAnatas,ajñānatas
ajYAnAt,ajñānāt
aYjanavat,añjanavat
aYjas,añjas
aYjasA,añjasā
awwa,aṭṭa
awwawwa,aṭṭaṭṭa
awwAlikAbanDam,aṭṭālikābandham
aRimatas,aṇimatas
aRu,aṇu
aRuSas,aṇuśas
at,at
ataUrDvam,ataūrdhvam
ataeva,ataeva
ataHparam,ataḥparam
atadarham,atadarham
atarapaRyena,atarapaṇyena
atarkitam,atarkitam
atas,atas
ati,ati
atikalyam,atikalyam
atikfcCram,atikṛcchram
atikramya,atikramya
atigAQam,atigāḍham
aticiram,aticiram
aticirasya,aticirasya
aticirAt,aticirāt
atitamAm,atitamām
atitarAm,atitarām
atiTivat,atithivat
atidozam,atidoṣam
atinidram,atinidram
atinidram,atinidram
atiprage,atiprage
atipraRudya,atipraṇudya
atiprARam,atiprāṇam
atimaryAdam,atimaryādam
atimarSam,atimarśam
atimAtram,atimātram
atimAtraSas,atimātraśas
ativiSrabDam,ativiśrabdham
ativelam,ativelam
atiSayanam,atiśayanam
atiSayam,atiśayam
atiSayena,atiśayena
atiSItam,atiśītam
atisanDam,atisandham
atisAyam,atisāyam
atihimam,atihimam
atIva,atīva
atonimittam,atonimittam
atorTam,atortham
atyantam,atyantam
atyantaSas,atyantaśas
atyantAya,atyantāya
atyarTam,atyartham
atyAyam,atyāyam
atyAsam,atyāsam
atyuccEs,atyuccais
atyUmaSA,atyūmaśā
atyUrjitam,atyūrjitam
atrivat,atrivat
atrEva,atraiva
aTakim,athakim
aTakimu,athakimu
aTaca,athaca
aTatu,athatu
aTarvavat,atharvavat
aTavA,athavā
aTavApi,athavāpi
aTAtas,athātas
aTAnantaram,athānantaram
aTApi,athāpi
aTo,atho
aTovA,athovā
adattvA,adattvā
adatrayA,adatrayā
adayam,adayam
adUratas,adūratas
adUrAt,adūrāt
adUre,adūre
adDA,addhā
adDAtamAm,addhātamām
adya,adya
adyatas,adyatas
adyapUrvam,adyapūrvam
adyapraBfti,adyaprabhṛti
adyAgreRa,adyāgreṇa
adyApi,adyāpi
adyEva,adyaiva
advezas,adveṣas
advEtena,advaitena
aDaHkfzRAjinam,adhaḥkṛṣṇājinam
aDaratas,adharatas
aDarastAt,adharastāt
aDarasmAt,adharasmāt
aDarAk,adharāk
aDarAt,adharāt
aDarAt,adharāt
aDaredyus,adharedyus
aDarmatas,adharmatas
aDas,adhas
aDastarAm,adhastarām
aDastAt,adhastāt
aDastAnnABi,adhastānnābhi
aDaspadam,adhaspadam
aDi,adhi
aDikaRWam,adhikaṇṭham
aDikanDaram,adhikandharam
aDikam,adhikam
aDikarRam,adhikarṇam
aDikftya,adhikṛtya
aDiketanam,adhiketanam
aDikziti,adhikṣiti
aDigfham,adhigṛham
aDigopam,adhigopam
aDigrIvam,adhigrīvam
aDijaNGam,adhijaṅgham
aDijAnu,adhijānu
aDijyotizam,adhijyotiṣam
aDidEvam,adhidaivam
aDinAgam,adhināgam
aDiniSam,adhiniśam
aDipaTam,adhipatham
aDipARi,adhipāṇi
aDipuranDri,adhipurandhri
aDipUtaBftam,adhipūtabhṛtam
aDiprajam,adhiprajam
aDiprajYam,adhiprajñam
aDiBUtam,adhibhūtam
aDimaKam,adhimakham
aDimAtram,adhimātram
aDiyajYam,adhiyajñam
aDirajani,adhirajani
aDiraTyam,adhirathyam
aDilaNkam,adhilaṅkam
aDilokam,adhilokam
aDivakzas,adhivakṣas
aDividyam,adhividyam
aDivivAham,adhivivāham
aDivfkzasUrye,adhivṛkṣasūrye
aDivedam,adhivedam
aDivelam,adhivelam
aDiSiras,adhiśiras
aDiSiroDaram,adhiśirodharam
aDiSrotram,adhiśrotram
aDizAdam,adhiṣādam
aDistri,adhistri
aDihari,adhihari
aDihasti,adhihasti
aDIvAsas,adhīvāsas
aDunA,adhunā
aDojAnu,adhojānu
aDoSvam,adhośvam
aDyakzaram,adhyakṣaram
aDyagni,adhyagni
aDyaDi,adhyadhi
aDyaDvam,adhyadhvam
aDyantena,adhyantena
aDyAkASam,adhyākāśam
aDyAtmam,adhyātmam
aDyuras,adhyuras
aDyuzite,adhyuṣite
anakasmAt,anakasmāt
anaDas,anadhas
anantaHpAdam,anantaḥpādam
anantaram,anantaram
anantarAyam,anantarāyam
ananyayogam,ananyayogam
anapajayyam,anapajayyam
anapanihitam,anapanihitam
anapayati,anapayati
anaparAdDam,anaparāddham
anapAvft,anapāvṛt
anapekzatvAt,anapekṣatvāt
anapekzam,anapekṣam
analam,analam
anavakrAmam,anavakrāmam
anavamarSam,anavamarśam
anavaratam,anavaratam
anavAnam,anavānam
anavekzam,anavekṣam
anavekzitam,anavekṣitam
anA,anā
anAkzepam,anākṣepam
anAKyAya,anākhyāya
anAjYAtam,anājñātam
anAtmavat,anātmavat
anAdi,anādi
anAmayatA,anāmayatā
anAyAsena,anāyāsena
anAratam,anāratam
anikAzam,anikāṣam
anityam,anityam
animittatas,animittatas
animizam,animiṣam
animizam,animiṣam
animizA,animiṣā
animezam,animeṣam
aniyantraRam,aniyantraṇam
anirdaSam,anirdaśam
aniSam,aniśam
aniSitam,aniśitam
anizpattram,aniṣpattram
anIkaSas,anīkaśas
anIcEs,anīcais
anu,anu
anukacCam,anukaccham
anukanaKalam,anukanakhalam
anukapolam,anukapolam
anukalam,anukalam
anukAmam,anukāmam
anukAlam,anukālam
anukramam,anukramam
anukzaRam,anukṣaṇam
anukzapam,anukṣapam
anugaNgam,anugaṅgam
anugavam,anugavam
anugiram,anugiram
anugu,anugu
anuguRam,anuguṇam
anugodam,anugodam
anugrAmam,anugrāmam
anuccEs,anuccais
anujanam,anujanam
