root	class	derivation	tense	voices
abhra	11	primary	future	active,middle
abhra	11	primary	imperative	middle
abhra	11	primary	imperfect	middle
abhra	11	primary	optative	middle
abhra	11	primary	periphrastic_future	active
abhra	11	primary	present	middle
ad	2	causative	future	active,middle
ad	2	causative	imperative	active,middle,passive
ad	2	causative	imperfect	active,middle
ad	2	causative	optative	active,middle,passive
ad	2	causative	periphrastic_future	active
ad	2	causative	present	active,middle,passive
ad	2	primary	benedictive	active
ad	2	primary	future	active
ad	2	primary	imperative	active,passive
ad	2	primary	imperfect	active,passive
ad	2	primary	optative	active,passive
ad	2	primary	perfect	active
ad	2	primary	periphrastic_future	active
ad	2	primary	present	active,passive
adhvara	11	primary	future	active,middle
adhvara	11	primary	imperative	active
adhvara	11	primary	imperfect	active
adhvara	11	primary	optative	active
adhvara	11	primary	periphrastic_future	active
adhvara	11	primary	present	active
agada	11	primary	future	active,middle
agada	11	primary	imperative	active
agada	11	primary	imperfect	active
agada	11	primary	optative	active
agada	11	primary	periphrastic_future	active
agada	11	primary	present	active
agha	11	primary	future	active,middle
agha	11	primary	imperative	active
agha	11	primary	imperfect	active
agha	11	primary	optative	active
agha	11	primary	periphrastic_future	active
agha	11	primary	present	active
aj	1	primary	benedictive	active
aj	1	primary	future	active
aj	1	primary	imperative	active,passive
aj	1	primary	imperfect	active,passive
aj	1	primary	optative	active,passive
aj	1	primary	perfect	active
aj	1	primary	periphrastic_future	active
aj	1	primary	present	active,passive
aj	5	primary	aorist	active,middle
aj	5	primary	injunctive	active,middle
ajira	11	primary	future	active,middle
ajira	11	primary	imperative	middle
ajira	11	primary	imperfect	middle
ajira	11	primary	optative	middle
ajira	11	primary	periphrastic_future	active
ajira	11	primary	present	middle
akṣ	1	primary	benedictive	active
akṣ	1	primary	future	active
akṣ	1	primary	imperative	active,passive
akṣ	1	primary	imperfect	active,passive
akṣ	1	primary	optative	active,passive
akṣ	1	primary	perfect	active
akṣ	1	primary	periphrastic_future	active
akṣ	1	primary	present	active,passive
akṣ	5	primary	aorist	active,middle
akṣ	5	primary	imperative	active
akṣ	5	primary	imperfect	active
akṣ	5	primary	injunctive	active,middle
akṣ	5	primary	optative	active
akṣ	5	primary	present	active
alīka	11	primary	future	active,middle
alīka	11	primary	imperative	middle
alīka	11	primary	imperfect	middle
alīka	11	primary	optative	middle
alīka	11	primary	periphrastic_future	active
alīka	11	primary	present	middle
am	1	causative	future	active,middle
am	1	causative	imperative	active,middle,passive
am	1	causative	imperfect	active,middle
