stem,root,class,mode,voice,modification,stem_IAST,root_IAST
aMSanIya,aMS,,fut,pass,,aṃśanīya,aṃś
aMSayat,aMS,10,pres,para,,aṃśayat,aṃś
aMSayamAna,aMS,10,pres,atma,,aṃśayamāna,aṃś
aMSayitavya,aMS,,fut,pass,,aṃśayitavya,aṃś
aMSayizyat,aMS,,fut,para,,aṃśayiṣyat,aṃś
aMSayizyamAna,aMS,,fut,atma,,aṃśayiṣyamāna,aṃś
aMSitavat,aMS,,past,active,,aṃśitavat,aṃś
aMSita,aMS,,past,pass,,aṃśita,aṃś
aMSyamAna,aMS,,pres,pass,,aṃśyamāna,aṃś
aMSya,aMS,,fut,pass,,aṃśya,aṃś
aktavat,aj,,past,active,,aktavat,aj
aktavat,aYc,,past,active,,aktavat,añc
aktavat,aYj,,past,active,,aktavat,añj
aktavya,aj,,fut,pass,,aktavya,aj
akta,aj,,past,pass,,akta,aj
akta,aYc,,past,pass,,akta,añc
akta,aYj,,past,pass,,akta,añj
aknavat,aYc,,past,active,,aknavat,añc
akna,aYc,,past,pass,,akna,añc
akzaRIya,akz,,fut,pass,,akṣaṇīya,akṣ
akzat,akz,1,pres,para,,akṣat,akṣ
akzamAna,akz,1,pres,atma,,akṣamāna,akṣ
akzitavya,akz,,fut,pass,,akṣitavya,akṣ
akzizyat,akz,,fut,para,,akṣiṣyat,akṣ
akzizyamAna,akz,,fut,atma,,akṣiṣyamāna,akṣ
akzyat,akz,,fut,para,,akṣyat,akṣ
akzyat,aj,,fut,para,,akṣyat,aj
akzyat,aS#1,,fut,para,,akṣyat,aś#1
akzyat,aS#2,,fut,para,,akṣyat,aś#2
akzyamAna,akz,,fut,atma,,akṣyamāna,akṣ
akzyamAna,akz,,pres,pass,,akṣyamāna,akṣ
akzyamAna,aj,,fut,atma,,akṣyamāna,aj
akzyamAna,aS#1,,fut,atma,,akṣyamāna,aś#1
akzyamAna,aS#2,,fut,atma,,akṣyamāna,aś#2
akzya,akz,,fut,pass,,akṣya,akṣ
aGatavat,aGa#2,,past,active,,aghatavat,agha#2
aGata,aGa#2,,past,pass,,aghata,agha#2
aGaya,aGa#2,,fut,pass,,aghaya,agha#2
aGAnIya,aGa#2,,fut,pass,,aghānīya,agha#2
aGAyat,aGa#2,10,pres,para,,aghāyat,agha#2
aGAyamAna,aGa#2,10,pres,atma,,aghāyamāna,agha#2
aGAyamAna,aGa#2,,pres,pass,,aghāyamāna,agha#2
aGAyitavya,aGa#2,,fut,pass,,aghāyitavya,agha#2
aGAyizyat,aGa#2,,fut,para,,aghāyiṣyat,agha#2
aGAyizyamAna,aGa#2,,fut,atma,,aghāyiṣyamāna,agha#2
aNkanIya,aNk,,fut,pass,,aṅkanīya,aṅk
aNkayat,aNk,10,pres,para,,aṅkayat,aṅk
aNkayamAna,aNk,10,pres,atma,,aṅkayamāna,aṅk
aNkayitavya,aNk,,fut,pass,,aṅkayitavya,aṅk
aNkayizyat,aNk,,fut,para,,aṅkayiṣyat,aṅk
aNkayizyamAna,aNk,,fut,atma,,aṅkayiṣyamāna,aṅk
aNkitavat,aNk,,past,active,,aṅkitavat,aṅk
aNkita,aNk,,past,pass,,aṅkita,aṅk
aNktavya,aYc,,fut,pass,,aṅktavya,añc
aNktavya,aYj,,fut,pass,,aṅktavya,añj
aNkyamAna,aNk,,pres,pass,,aṅkyamāna,aṅk
aNkya,aNk,,fut,pass,,aṅkya,aṅk
aNkzyat,aNg,,fut,para,,aṅkṣyat,aṅg
aNkzyat,aYc,,fut,para,,aṅkṣyat,añc
aNkzyat,aYj,,fut,para,,aṅkṣyat,añj
aNkzyamAna,aNg,,fut,atma,,aṅkṣyamāna,aṅg
aNkzyamAna,aYc,,fut,atma,,aṅkṣyamāna,añc
aNkzyamAna,aYj,,fut,atma,,aṅkṣyamāna,añj
aNKanIya,aNK,,fut,pass,,aṅkhanīya,aṅkh
aNKayat,aNK,10,pres,para,,aṅkhayat,aṅkh
aNKayamAna,aNK,10,pres,atma,,aṅkhayamāna,aṅkh
aNKayitavya,aNK,,fut,pass,,aṅkhayitavya,aṅkh
aNKayizyat,aNK,,fut,para,,aṅkhayiṣyat,aṅkh
aNKayizyamAna,aNK,,fut,atma,,aṅkhayiṣyamāna,aṅkh
aNKitavat,aNK,,past,active,,aṅkhitavat,aṅkh
aNKita,aNK,,past,pass,,aṅkhita,aṅkh
aNKyamAna,aNK,,pres,pass,,aṅkhyamāna,aṅkh
aNKya,aNK,,fut,pass,,aṅkhya,aṅkh
aNgat,aNg,1,pres,para,,aṅgat,aṅg
aNganIya,aNg,,fut,pass,,aṅganīya,aṅg
aNgamAna,aNg,1,pres,atma,,aṅgamāna,aṅg
aNgitavat,aNg,,past,active,,aṅgitavat,aṅg
aNgita,aNg,,past,pass,,aṅgita,aṅg
aNgtavya,aNg,,fut,pass,,aṅgtavya,aṅg
aNgyamAna,aNg,,pres,pass,,aṅgyamāna,aṅg
aNgya,aNg,,fut,pass,,aṅgya,aṅg
acat,aYc,1,pres,para,,acat,añc
acamAna,aYc,1,pres,atma,,acamāna,añc
acyamAna,aYc,,pres,pass,,acyamāna,añc
ajat,aj,1,pres,para,,ajat,aj
ajanIya,aj,,fut,pass,,ajanīya,aj
ajamAna,aj,1,pres,atma,,ajamāna,aj
ajiratavat,ajira#2,,past,active,,ajiratavat,ajira#2
ajirata,ajira#2,,past,pass,,ajirata,ajira#2
ajiraya,ajira#2,,fut,pass,,ajiraya,ajira#2
ajirARIya,ajira#2,,fut,pass,,ajirāṇīya,ajira#2
ajirAyat,ajira#2,10,pres,para,,ajirāyat,ajira#2
ajirAyamAna,ajira#2,10,pres,atma,,ajirāyamāna,ajira#2
ajirAyamAna,ajira#2,,pres,pass,,ajirāyamāna,ajira#2
ajirAyitavya,ajira#2,,fut,pass,,ajirāyitavya,ajira#2
ajirAyizyat,ajira#2,,fut,para,,ajirāyiṣyat,ajira#2
ajirAyizyamAna,ajira#2,,fut,atma,,ajirāyiṣyamāna,ajira#2
ajyamAna,aj,,pres,pass,,ajyamāna,aj
ajyamAna,aYj,,pres,pass,,ajyamāna,añj
ajya,aj,,fut,pass,,ajya,aj
aYcat,aYc,1,pres,para,,añcat,añc
aYcanIya,aYc,,fut,pass,,añcanīya,añc
aYcanIya,aYc,,fut,pass,caus,añcanīya,añc
aYcamAna,aYc,1,pres,atma,,añcamāna,añc
aYcayat,aYc,,pres,para,caus,añcayat,añc
aYcayamAna,aYc,,pres,atma,caus,añcayamāna,añc
aYcayitavya,aYc,,fut,pass,caus,añcayitavya,añc
aYcayizyat,aYc,,fut,para,caus,añcayiṣyat,añc
aYcayizyamAna,aYc,,fut,atma,,añcayiṣyamāna,añc
aYcayizyamAna,aYc,,fut,atma,caus,añcayiṣyamāna,añc
aYcitavat,aYc,,past,active,,añcitavat,añc
aYcitavat,aYc,,past,active,caus,añcitavat,añc
aYcita,aYc,,past,pass,,añcita,añc
aYcita,aYc,,past,pass,caus,añcita,añc
aYcyamAna,aYc,,pres,pass,caus,añcyamāna,añc
aYcya,aYc,,fut,pass,,añcya,añc
aYcya,aYc,,fut,pass,caus,añcya,añc
aYjat,aYj,7,pres,para,,añjat,añj
aYjanIya,aYj,,fut,pass,,añjanīya,añj
aYjanIya,aYj,,fut,pass,caus,añjanīya,añj
aYjayat,aYj,,pres,para,caus,añjayat,añj
aYjayamAna,aYj,,pres,atma,caus,añjayamāna,añj
