prefixed_root,unprefixed_root,hom,prefixed_root_IAST,unprefixed_root_IAST
akzilakzIkf,kf,,akṣilakṣīkṛ,kṛ
agocarIkf,kf,,agocarīkṛ,kṛ
agraRIkf,kf,,agraṇīkṛ,kṛ
aNgArasAtkf,kf,,aṅgārasātkṛ,kṛ
acCApat,pat,,acchāpat,pat
acCAvft,vft,,acchāvṛt,vṛt
atiTIkf,kf,,atithīkṛ,kṛ
atiTIBU,BU,,atithībhū,bhū
atinizwan,tan,,atiniṣṭan,tan
atinI,nI,,atinī,nī
atiparI,i,,atiparī,i
atipA,pA,1,atipā,pā
atipU,pU,,atipū,pū
atipF,pF,,atipṝ,pṝ
atipraRaS,naS,,atipraṇaś,naś
atipraRI,nI,,atipraṇī,nī
atipraRud,nud,,atipraṇud,nud
atipravA,vA,2,atipravā,vā
atipraSru,Sru,,atipraśru,śru
atiprasad,sad,,atiprasad,sad
atiprahA,hA,,atiprahā,hā
atiBU,BU,,atibhū,bhū
atiBf,Bf,,atibhṛ,bhṛ
ativA,vA,2,ativā,vā
ativiDA,DA,,atividhā,dhā
atiSi,Si,,atiśi,śi
atizkand,skand,,atiṣkand,skand
atizwu,stu,,atiṣṭu,stu
atizWA,sTA,,atiṣṭhā,sthā
atihve,hve,,atihve,hve
atI,i,,atī,i
atyAyat,yat,,atyāyat,yat
atyudDA,hA,,atyuddhā,hā
aDikf,kf,1,adhikṛ,kṛ
aDikf,kf,,adhikṛ,kṛ
aDigam,gam,,adhigam,gam
aDigA,gA,1,adhigā,gā
aDidiS,diS,,adhidiś,diś
aDiDA,DA,,adhidhā,dhā
aDiDf,Df,,adhidhṛ,dhṛ
aDinam,nam,,adhinam,nam
aDinizad,sad,,adhiniṣad,sad
aDiyat,yat,,adhiyat,yat
aDiyam,yam,,adhiyam,yam
aDiruh,ruh,,adhiruh,ruh
aDiluW,luW,,adhiluṭh,luṭh
aDivap,vap,2,adhivap,vap
aDivas,vas,4,adhivas,vas
aDivikram,kram,,adhivikram,kram
aDivid,vid,3,adhivid,vid
aDivfj,vfj,,adhivṛj,vṛj
aDivfD,vfD,,adhivṛdh,vṛdh
aDizu,su,,adhiṣu,su
aDizkand,skand,,adhiṣkand,skand
aDizWA,sTA,,adhiṣṭhā,sthā
aDizvan,svan,,adhiṣvan,svan
aDI,i,,adhī,i
aDIz,iz,,adhīṣ,iṣ
aDyavaso,so,,adhyavaso,so
aDyAs,As,,adhyās,ās
aDyutTA,sTA,,adhyutthā,sthā
aDyudDf,hf,,adhyuddhṛ,hṛ
aDyupekz,Ikz,,adhyupekṣ,īkṣ
anukamp,kamp,,anukamp,kamp
anukA,kA,,anukā,kā
anukfp,kfp,,anukṛp,kṛp
anukrand,krand,,anukrand,krand
anugam,gam,,anugam,gam
anucakz,cakz,,anucakṣ,cakṣ
anuci,ci,2,anuci,ci
anucCid,Cid,,anucchid,chid
anucCo,Co,,anuccho,cho
anujan,jan,,anujan,jan
anujalp,jalp,,anujalp,jalp
anudfS,dfS,,anudṛś,dṛś
anuDanv,Danv,,anudhanv,dhanv
anuDI,DI,,anudhī,dhī
anuDvaMs,DvaMs,,anudhvaṃs,dhvaṃs
anunad,nad,,anunad,nad
anunam,nam,,anunam,nam
anupariRI,nI,,anupariṇī,nī
anuparI,i,,anuparī,i
anupare,i,,anupare,i
anuparye,i,,anuparye,i
anupaS,paS,,anupaś,paś
anupA,pA,2,anupā,pā
anupU,pU,,anupū,pū
anupraRud,nud,,anupraṇud,nud
anupratizWA,sTA,,anupratiṣṭhā,sthā
anupraT,praT,,anuprath,prath
anuprapA,pA,1,anuprapā,pā
anuprAR,an,,anuprāṇ,an
anuprAp,Ap,,anuprāp,āp
anuprAs,as,,anuprās,as
anupre,i,,anupre,i
anuprekz,Ikz,,anuprekṣ,īkṣ
anuprez,iz,,anupreṣ,iṣ
anuproh,Uh,,anuproh,ūh
anubrU,brU,,anubrū,brū
anuman,man,,anuman,man
anuyat,yat,,anuyat,yat
anuyam,yam,,anuyam,yam
anuraYj,raYj,,anurañj,rañj
anuram,ram,,anuram,ram
anuriz,riz,,anuriṣ,riṣ
anurI,rI,,anurī,rī
anuruc,ruc,,anuruc,ruc
anuruD,ruD,,anurudh,rudh
anuruh,ruh,,anuruh,ruh
anulip,lip,,anulip,lip
anuvad,vad,,anuvad,vad
anuvap,vap,2,anuvap,vap
anuvazawkf,kf,,anuvaṣaṭkṛ,kṛ
anuvA,vA,,anuvā,vā
anuvikram,kram,,anuvikram,kram
anuvid,vid,1,anuvid,vid
anuvid,vid,3,anuvid,vid
anuvinad,nad,,anuvinad,nad
anuvilok,lok,,anuvilok,lok
anuvivft,vft,,anuvivṛt,vṛt
anuvizic,sic,,anuviṣic,sic
anuvizWA,sTA,,anuviṣṭhā,sthā
anuvizyand,syand,,anuviṣyand,syand
anuvI,i,,anuvī,i
anuvIkz,Ikz,,anuvīkṣ,īkṣ
anuvf,vf,,anuvṛ,vṛ
anuvft,vft,,anuvṛt,vṛt
anuvezw,vezw,,anuveṣṭ,veṣṭ
anuvyaD,vyaD,,anuvyadh,vyadh
anuvyavagA,gA,1,anuvyavagā,gā
anuvyave,i,,anuvyave,i
anuSak,Sak,,anuśak,śak
anuSI,SI,1,anuśī,śī
anuSuc,Suc,1,anuśuc,śuc
anuSraT,SraT,,anuśrath,śrath
anuSru,Sru,,anuśru,śru
anuzac,sac,,anuṣac,sac
anuzaYj,saYj,,anuṣañj,sañj
anuzic,sic,,anuṣic,sic
anuziD,siD,,anuṣidh,sidh
anuzwu,stu,,anuṣṭu,stu
anuzwuB,stuB,,anuṣṭubh,stubh
anuzWA,sTA,,anuṣṭhā,sthā
anuzyand,syand,,anuṣyand,syand
anusaMKyA,KyA,,anusaṃkhyā,khyā
anusaMcar,car,,anusaṃcar,car
anusaMraB,raB,,anusaṃrabh,rabh
anusaMsf,sf,,anusaṃsṛ,sṛ
anusaMsTA,sTA,,anusaṃsthā,sthā
anusamAp,Ap,,anusamāp,āp
anusamAraB,raB,,anusamārabh,rabh
anusami,i,,anusami,i
anusamprAp,Ap,,anusamprāp,āp
anusf,sf,,anusṛ,sṛ
anusfj,sfj,,anusṛj,sṛj
anusmf,smf,,anusmṛ,smṛ
anuhA,hA,2,anuhā,hā
anuhf,hf,,anuhṛ,hṛ
anUkz,ukz,,anūkṣ,ukṣ
anUjji,ji,,anūjji,ji
anUd,ud,,anūd,ud
anUde,i,,anūde,i
anUdDA,hA,,anūddhā,hā
anUdDf,hf,,anūddhṛ,hṛ
anUnnI,nI,,anūnnī,nī
anUpaDA,DA,,anūpadhā,dhā
anUpasTA,sTA,,anūpasthā,sthā
antaraya,i,,antaraya,i
antarADA,DA,,antarādhā,dhā
antarIkf,kf,,antarīkṛ,kṛ
antarupAtI,i,,antarupātī,i
antarDA,DA,,antardhā,dhā
anvat,at,,anvat,at
anvatI,i,,anvatī,i
anvaBizic,sic,,anvabhiṣic,sic
anvavArj,arj,,anvavārj,arj
anvavAs,as,,anvavās,as
anvave,i,,anvave,i
anvavekz,Ikz,,anvavekṣ,īkṣ
anvaS,aS,1,anvaś,aś
anvAkram,kram,,anvākram,kram
anvAdA,dA,1,anvādā,dā
anvADA,DA,,anvādhā,dhā
anvABaj,Baj,,anvābhaj,bhaj
anvAhiRq,hiRq,,anvāhiṇḍ,hiṇḍ
anviz,iz,3,anviṣ,iṣ
anvf,f,,anvṛ,ṛ
anvfD,fD,,anvṛdh,ṛdh
anve,i,,anve,i
apakft,kft,2,apakṛt,kṛt
apakfz,kfz,,apakṛṣ,kṛṣ
apakF,kF,1,apakṝ,kṝ
apaguh,guh,,apaguh,guh
apacit,cit,,apacit,cit
apacCad,Cad,,apacchad,chad
apacCid,Cid,,apacchid,chid
apacyu,cyu,,apacyu,cyu
apanilI,lI,,apanilī,lī
apapare,i,,apapare,i
apapruT,pruT,,apapruth,pruth
apapre,i,,apapre,i
apabAD,bAD,,apabādh,bādh
apaBaj,Baj,,apabhaj,bhaj
apamfj,mfj,,apamṛj,mṛj
apame,me,,apame,me
apayuj,yuj,,apayuj,yuj
apalap,lap,,apalap,lap
apavad,vad,,apavad,vad
apavic,vic,,apavic,vic
apavf,vf,1,apavṛ,vṛ
apavfj,vfj,,apavṛj,vṛj
apavft,vft,,apavṛt,vṛt
apavye,vye,,apavye,vye
apaSvas,Svas,,apaśvas,śvas
apasac,sac,,apasac,sac
apaspf,spf,,apaspṛ,spṛ
apahA,hA,2,apahā,hā
apahA,hA,3,apahā,hā
apahnu,hnu,,apahnu,hnu
apAdA,dA,1,apādā,dā
apAr,f,,apār,ṛ
apArC,fC,,apārch,ṛch
apAvft,vft,,apāvṛt,vṛt
apASri,Sri,,apāśri,śri
apAhf,hf,,apāhṛ,hṛ
apiGas,Gas,,apighas,ghas
apibanD,banD,,apibandh,bandh
apimfz,mfz,,apimṛṣ,mṛṣ
apivat,vat,,apivat,vat
apivf,vf,1,apivṛ,vṛ
apivye,vye,,apivye,vye
apiSF,SF,,apiśṝ,śṝ
apizWA,sTA,,apiṣṭhā,sthā
apisfj,sfj,,apisṛj,sṛj
apihve,hve,,apihve,hve
ape,i,,ape,i
apocCad,Cad,,apocchad,chad
apotkfz,kfz,,apotkṛṣ,kṛṣ
apodi,i,,apodi,i
aporRu,UrRu,,aporṇu,ūrṇu
apoh,Uh,,apoh,ūh
apyas,as,2,apyas,as
aBikxp,kxp,,abhikḷp,kḷp
aBikzip,kzip,,abhikṣip,kṣip
aBigAh,gAh,,abhigāh,gāh
aBicCad,Cad,,abhicchad,chad
aBijan,jan,,abhijan,jan
aBitan,tan,,abhitan,tan
aBitF,tF,,abhitṝ,tṝ
aBiduh,duh,,abhiduh,duh
aBiDanv,Danv,,abhidhanv,dhanv
aBiDA,DA,,abhidhā,dhā
aBiDI,DI,,abhidhī,dhī
aBinakz,nakz,,abhinakṣ,nakṣ
aBinard,nard,,abhinard,nard
aBiniDA,DA,,abhinidhā,dhā
aBinirRud,nud,,abhinirṇud,nud
aBinirmi,mi,,abhinirmi,mi
aBinizad,sad,,abhiniṣad,sad
aBinI,i,,abhinī,i
aBinu,nu,3,abhinu,nu
aBinu,nu,4,abhinu,nu
aBiparizvaYj,svaYj,,abhipariṣvañj,svañj
aBiparihf,hf,,abhiparihṛ,hṛ
aBipare,i,,abhipare,i
aBiparyAvft,vft,,abhiparyāvṛt,vṛt
aBiparye,i,,abhiparye,i
aBipale,i,,abhipale,i
aBipA,pA,2,abhipā,pā
aBipiS,piS,,abhipiś,piś
aBipyE,pyE,,abhipyai,pyai
aBiprakram,kram,,abhiprakram,kram
aBipracyu,cyu,,abhipracyu,cyu
aBiprajan,jan,,abhiprajan,jan
aBipraRakz,nakz,,abhipraṇakṣ,nakṣ
aBipraRad,nad,,abhipraṇad,nad
aBipraRam,nam,,abhipraṇam,nam
aBipraRI,nI,,abhipraṇī,nī
