form,root,class,person,number,mode,voice,modification,form_IAST,root_IAST
aMSaya,aMSa,denom,2,s,impv,para,,aṃśaya,aṃśa
aMSayata,aMSa,denom,2,p,impv,para,,aṃśayata,aṃśa
aMSayatam,aMSa,denom,2,d,impv,para,,aṃśayatam,aṃśa
aMSayatas,aMSa,denom,3,d,pres,para,,aṃśayatas,aṃśa
aMSayatAm,aMSa,denom,3,d,impv,para,,aṃśayatām,aṃśa
aMSayati,aMSa,denom,3,s,pres,para,,aṃśayati,aṃśa
aMSayatu,aMSa,denom,3,s,impv,para,,aṃśayatu,aṃśa
aMSayaTa,aMSa,denom,2,p,pres,para,,aṃśayatha,aṃśa
aMSayaTas,aMSa,denom,2,d,pres,para,,aṃśayathas,aṃśa
aMSayanti,aMSa,denom,3,p,pres,para,,aṃśayanti,aṃśa
aMSayantu,aMSa,denom,3,p,impv,para,,aṃśayantu,aṃśa
aMSayasi,aMSa,denom,2,s,pres,para,,aṃśayasi,aṃśa
aMSayAni,aMSa,denom,1,s,impv,para,,aṃśayāni,aṃśa
aMSayAma,aMSa,denom,1,p,impv,para,,aṃśayāma,aṃśa
aMSayAmas,aMSa,denom,1,p,pres,para,,aṃśayāmas,aṃśa
aMSayAmi,aMSa,denom,1,s,pres,para,,aṃśayāmi,aṃśa
aMSayAva,aMSa,denom,1,d,impv,para,,aṃśayāva,aṃśa
aMSayAvas,aMSa,denom,1,d,pres,para,,aṃśayāvas,aṃśa
aMSayitA,aMSa,,3,s,pfut,para,,aṃśayitā,aṃśa
aMSayitAras,aMSa,,3,p,pfut,para,,aṃśayitāras,aṃśa
aMSayitArO,aMSa,,3,d,pfut,para,,aṃśayitārau,aṃśa
aMSayitAsi,aMSa,,2,s,pfut,para,,aṃśayitāsi,aṃśa
aMSayitAsTa,aMSa,,2,p,pfut,para,,aṃśayitāstha,aṃśa
aMSayitAsTas,aMSa,,2,d,pfut,para,,aṃśayitāsthas,aṃśa
aMSayitAsmas,aMSa,,1,p,pfut,para,,aṃśayitāsmas,aṃśa
aMSayitAsmi,aMSa,,1,s,pfut,para,,aṃśayitāsmi,aṃśa
aMSayitAsvas,aMSa,,1,d,pfut,para,,aṃśayitāsvas,aṃśa
aMSayizyatas,aMSa,,3,d,sfut,para,,aṃśayiṣyatas,aṃśa
aMSayizyati,aMSa,,3,s,sfut,para,,aṃśayiṣyati,aṃśa
aMSayizyate,aMSa,,3,s,sfut,atma,,aṃśayiṣyate,aṃśa
aMSayizyaTa,aMSa,,2,p,sfut,para,,aṃśayiṣyatha,aṃśa
aMSayizyaTas,aMSa,,2,d,sfut,para,,aṃśayiṣyathas,aṃśa
