first,second,result,type,first_IAST,second_IAST,result_IAST
a,a,A,common,a,a,ā
a,A,A,common,a,ā,ā
a,i,e,common,a,i,e
a,I,e,common,a,ī,e
a,u,o,common,a,u,o
a,U,o,common,a,ū,o
a,f,ar,common,a,ṛ,ar
a,F,ar,common,a,ṝ,ar
a,x,al,common,a,ḷ,al
a,X,al,common,a,ḹ,al
a,e,E,common,a,e,ai
a,E,E,common,a,ai,ai
a,o,O,common,a,o,au
a,O,O,common,a,au,au
A,a,A,common,ā,a,ā
A,A,A,common,ā,ā,ā
A,i,e,common,ā,i,e
A,I,e,common,ā,ī,e
A,u,o,common,ā,u,o
A,U,o,common,ā,ū,o
A,f,ar,common,ā,ṛ,ar
A,F,ar,common,ā,ṝ,ar
A,x,al,common,ā,ḷ,al
A,X,al,common,ā,ḹ,al
A,e,E,common,ā,e,ai
A,E,E,common,ā,ai,ai
A,o,O,common,ā,o,au
A,O,O,common,ā,au,au
i,a,y a,common,i,a,y a
i,A,y A,common,i,ā,y ā
i,i,I,common,i,i,ī
i,I,I,common,i,ī,ī
i,u,y u,common,i,u,y u
i,U,y U,common,i,ū,y ū
i,f,y f,common,i,ṛ,y ṛ
i,F,y F,common,i,ṝ,y ṝ
i,x,y x,common,i,ḷ,y ḷ
i,X,y X,common,i,ḹ,y ḹ
i,e,y e,common,i,e,y e
i,E,y E,common,i,ai,y ai
i,o,y o,common,i,o,y o
i,O,y O,common,i,au,y au
is,a,ir a,common,is,a,ir a
is,A,ir A,common,is,ā,ir ā
is,i,ir i,common,is,i,ir i
is,I,ir I,common,is,ī,ir ī
is,u,ir u,common,is,u,ir u
is,U,ir U,common,is,ū,ir ū
is,f,ir f,common,is,ṛ,ir ṛ
is,F,ir F,common,is,ṝ,ir ṝ
is,x,ir x,common,is,ḷ,ir ḷ
is,X,ir X,common,is,ḹ,ir ḹ
is,e,ir e,common,is,e,ir e
is,E,ir E,common,is,ai,ir ai
is,o,ir o,common,is,o,ir o
is,O,ir O,common,is,au,ir au
I,a,y a,common,ī,a,y a
I,A,y A,common,ī,ā,y ā
I,i,I,common,ī,i,ī
I,I,I,common,ī,ī,ī
I,u,y u,common,ī,u,y u
I,U,y U,common,ī,ū,y ū
I,f,y f,common,ī,ṛ,y ṛ
I,F,y F,common,ī,ṝ,y ṝ
I,x,y x,common,ī,ḷ,y ḷ
I,X,y X,common,ī,ḹ,y ḹ
I,e,y e,common,ī,e,y e
I,E,y E,common,ī,ai,y ai
I,o,y o,common,ī,o,y o
I,O,y O,common,ī,au,y au
