root,hom,class,voice,root_IAST
aMS,,10,para,aṃś
aMh,1,1,atma,aṃh
aMh,1,10,para,aṃh
ak,,1,para,ak
akz,,1,atma,akṣ
akz,,5,atma,akṣ
ag,,1,para,ag
aG,,10,para,agh
aGaya,,denom,para,aghaya
aGAya,,denom,para,aghāya
aNk,,1,atma,aṅk
aNk,,10,para,aṅk
aNkAya,,denom,atma,aṅkāya
aNkuraya,,denom,para,aṅkuraya
aNkurAya,,denom,atma,aṅkurāya
aNK,,10,para,aṅkh
aNg,,1,para,aṅg
aNg,,10,para,aṅg
aNG,,1,atma,aṅgh
ac,1,1,para,ac
aj,,1,para,aj
ajirAya,,denom,atma,ajirāya
aYc,1,1,para,añc
aYc,1,10,para,añc
aYj,,7,para,añj
aw,,1,para,aṭ
awAya,,denom,atma,aṭāya
aww,,1,atma,aṭṭ
aww,,10,para,aṭṭ
awwAya,,denom,atma,aṭṭāya
aW,,1,para,aṭh
aW,,1,atma,aṭh
aq,1,1,para,aḍ
aqq,,1,para,aḍḍ
aR,,1,para,aṇ
aR,,4,atma,aṇ
aRW,,1,atma,aṇṭh
aRqarAya,,denom,atma,aṇḍarāya
at,2,1,para,at
atirAjaya,,denom,para,atirājaya
ad,1,2,para,ad
aDaraya,,denom,para,adharaya
aDvarIya,,denom,para,adhvarīya
an,2,2,para,an
analAya,,denom,atma,analāya
anukUlaya,,denom,para,anukūlaya
ant,,1,para,ant
antaya,,denom,para,antaya
and,,1,para,and
andolaya,,denom,para,andolaya
anD,,10,para,andh
annIya,,denom,para,annīya
anyaTaya,,denom,para,anyathaya
aparokzaya,,denom,para,aparokṣaya
apuvAya,,denom,atma,apuvāya
apUpIya,2,denom,para,apūpīya
apsarAya,,denom,atma,apsarāya
aBimuKaya,,denom,para,abhimukhaya
aBr,,1,para,abhr
aBrAya,,denom,atma,abhrāya
amalaya,,denom,para,amalaya
amitraya,,denom,para,amitraya
amitrAya,,denom,atma,amitrāya
amftAya,,denom,atma,amṛtāya
amb,,1,para,amb
amb,,1,atma,amb
arajAya,,denom,atma,arajāya
arahAya,,denom,atma,arahāya
arAtIya,,denom,para,arātīya
aruRaya,,denom,para,aruṇaya
arkaya,,denom,para,arkaya
arG,,1,para,argh
arc,1,1,para,arc
arj,,1,para,arj
arT,,10,atma,arth
arT,,1,atma,arth
arTApaya,,denom,para,arthāpaya
ard,,6,para,ard
ard,,1,para,ard
arDaya,,denom,para,ardhaya
arb,,1,para,arb
arv,,1,para,arv
arh,,1,para,arh
al,,1,para,al
alIkAya,,denom,atma,alīkāya
alpaya,,denom,para,alpaya
av,,1,para,av
aSanAya,,denom,para,aśanāya
aSanIya,,denom,para,aśanīya
aSAya,,denom,atma,aśāya
aSAya,,denom,atma,aśāya
aSezaya,,denom,para,aśeṣaya
aSnItapibatIya,,denom,para,aśnītapibatīya
aSvaya,,denom,atma,aśvaya
aSvAya,,denom,para,aśvāya
aSvIya,1,denom,para,aśvīya
az,,1,para,aṣ
as,1,2,para,as
as,2,4,para,as
astrAya,,denom,atma,astrāya
asmaya,,denom,para,asmaya
asrAya,,denom,atma,asrāya
ah,2,5,para,ah
Akulaya,,denom,para,ākulaya
AKyAnaya,,denom,para,ākhyānaya
AtapAya,,denom,atma,ātapāya
AnAyAya,,denom,atma,ānāyāya
Andolaya,,denom,para,āndolaya
Ap,1,5,para,āp
Ar,1,4,para,ār
ArAgaya,,denom,para,ārāgaya
Ardraya,,denom,para,ārdraya
Avilaya,,denom,para,āvilaya
As,2,2,atma,ās
AhAraya,,denom,para,āhāraya
AhvAnaya,,denom,para,āhvānaya
i,5,2,para,i
iK,,1,para,ikh
iK,,1,para,ikh
iNK,,1,para,iṅkh
iNK,,1,para,iṅkh
iNg,,1,para,iṅg
iw,,1,para,iṭ
ind,,1,para,ind
indraya,,denom,atma,indraya
inD,,7,atma,indh
inv,,6,para,inv
inv,,8,para,inv
inv,,9,para,inv
ir,,6,para,ir
il,,6,para,il
il,,10,para,il
iz,1,1,para,iṣ
iz,1,4,para,iṣ
iz,3,6,para,iṣ
izaRaya,,denom,atma,iṣaṇaya
izaya,,denom,atma,iṣaya
Ikz,,1,atma,īkṣ
IK,,1,para,īkh
INK,,1,para,īṅkh
Ij,,1,para,īj
IYj,,1,para,īñj
Iq,1,2,atma,īḍ
Int,,1,para,īnt
Ir,,2,atma,īr
Irkzy,,1,para,īrkṣy
Irzy,,1,para,īrṣy
IS,1,2,atma,īś
Iz,1,1,atma,īṣ
Ih,,1,atma,īh
u,4,5,para,u
u,4,2,atma,u
u,4,1,atma,u
ukz,1,1,para,ukṣ
uK,,1,para,ukh
uNK,,6,para,uṅkh
uc,,4,para,uc
uC,1,1,para,uch
uC,2,1,para,uch
ujJ,,6,para,ujjh
uYC,,1,para,uñch
uYC,,6,para,uñch
uW,,1,para,uṭh
utkacaya,,denom,para,utkacaya
utkaya,,denom,para,utkaya
utkAya,,denom,atma,utkāya
utkorakaya,,denom,para,utkorakaya
utkoSaya,,denom,para,utkośaya
uttaMsaya,,denom,para,uttaṃsaya
uttaraMgaya,,denom,para,uttaraṃgaya
uttaraya,,denom,para,uttaraya
uttaralAya,,denom,atma,uttaralāya
utpuMsaya,,denom,para,utpuṃsaya
utpucCaya,,denom,atma,utpucchaya
utsukAya,,denom,atma,utsukāya
utsvapnAya,,denom,atma,utsvapnāya
ud,2,7,para,ud
ud,2,6,para,ud
udakIya,,denom,para,udakīya
udaDIya,,denom,para,udadhīya
udaSraya,,denom,para,udaśraya
udAttaya,,denom,para,udāttaya
udAnaya,,denom,para,udānaya
uddAmaya,,denom,para,uddāmaya
udvelaya,,denom,para,udvelaya
uDras,1,9,para,udhras
uDras,2,10,para,udhras
und,2,7,para,und
und,2,6,para,und
unnidraya,,denom,para,unnidraya
unmanaya,,denom,para,unmanaya
unmanAya,,denom,atma,unmanāya
upasargaya,,denom,para,upasargaya
upahastaya,,denom,para,upahastaya
upozaya,,denom,para,upoṣaya
ubj,,6,para,ubj
uB,,9,para,ubh
uB,,6,para,ubh
ulaq,,10,para,ulaḍ
ullAGaya,,denom,para,ullāghaya
uz,1,1,para,uṣ
uz,1,9,para,uṣ
uzRaya,,denom,para,uṣṇaya
uzmAya,,denom,atma,uṣmāya
usrIya,,denom,para,usrīya
uh,,1,para,uh
UQaya,,denom,para,ūḍhaya
Unaya,,denom,para,ūnaya
Uy,,1,atma,ūy
UrRu,,2,para,ūrṇu
Urd,,1,atma,ūrd
UrDvAya,,denom,atma,ūrdhvāya
Urv,,1,para,ūrv
Uz,,1,para,ūṣ
UzarAya,,denom,atma,ūṣarāya
UzmAya,,denom,atma,ūṣmāya
Uh,1,1,para,ūh
Uh,2,1,para,ūh
f,4,1,para,ṛ
f,4,3,para,ṛ
f,4,5,para,ṛ
fGAya,,denom,atma,ṛghāya
fc,1,6,para,ṛc
fC,,6,para,ṛch
fj,,1,para,ṛj
fYj,1,1,atma,ṛñj
fYj,2,6,para,ṛñj
fYj,2,4,para,ṛñj
fYj,2,7,atma,ṛñj
fR,,8,para,ṛṇ
ftaya,,denom,atma,ṛtaya
ftAya,,denom,para,ṛtāya
fD,,6,para,ṛdh
fD,,2,para,ṛdh
fD,,4,para,ṛdh
fD,,5,para,ṛdh
fD,,7,para,ṛdh
fP,,6,para,ṛph
fmP,,6,para,ṛmph
fz,1,1,para,ṛṣ
fz,2,6,para,ṛṣ
ej,,1,para,ej
ej,,1,atma,ej
eW,,1,atma,eṭh
eqakIya,,denom,para,eḍakīya
eD,,1,atma,edh
elAya,,denom,para,elāya
ez,1,1,para,eṣ
oK,,1,para,okh
oj,,1,para,oj
oj,,10,para,oj
ojAya,,denom,atma,ojāya
oR,,1,para,oṇ
odanIya,1,denom,para,odanīya
olaRq,,1,para,olaṇḍ
olaRq,,8,para,olaṇḍ
olaRq,,10,para,olaṇḍ
OrvAya,,denom,atma,aurvāya
kaMs,,2,atma,kaṃs
kak,,1,atma,kak
kakzAya,,denom,atma,kakṣāya
kaK,,1,para,kakh
kag,,1,para,kag
kaNk,,1,atma,kaṅk
kac,,1,para,kac
kaj,,1,para,kaj
kaYc,,1,atma,kañc
kaw,1,1,para,kaṭ
kaw,2,1,para,kaṭ
kawakawApaya,,denom,para,kaṭakaṭāpaya
kawakawAya,,denom,atma,kaṭakaṭāya
kaww,,10,para,kaṭṭ
kaW,,1,para,kaṭh
kaWinaya,,denom,para,kaṭhinaya
kaWoraya,,denom,para,kaṭhoraya
kaq,,1,para,kaḍ
kaq,,6,para,kaḍ
kaqq,,1,para,kaḍḍ
kaR,,1,para,kaṇ
kaR,,10,para,kaṇ
kaRUkaya,,denom,para,kaṇūkaya
kaRw,,1,para,kaṇṭ
kaRW,,1,para,kaṇṭh
kaRW,,10,para,kaṇṭh
kaRq,,1,para,kaṇḍ
kaRq,,10,para,kaṇḍ
kaRvAya,,denom,atma,kaṇvāya
katT,,1,atma,katth
katr,,10,para,katr
kaT,,10,para,kath
kaTApaya,,denom,para,kathāpaya
kad,1,1,atma,kad
kan,,1,para,kan
kanaya,,denom,para,kanaya
kand,,1,para,kand
kandalaya,,denom,para,kandalaya
kandukAya,,denom,atma,kandukāya
kapilAya,,denom,atma,kapilāya
kapiSaya,,denom,para,kapiśaya
kaPoRiguqAya,,denom,atma,kaphoṇiguḍāya
kab,,1,atma,kab
kam,2,1,atma,kam
kamp,,1,atma,kamp
kampAya,,denom,atma,kampāya
kamb,,1,para,kamb
karalAya,,denom,atma,karalāya
karuRAya,,denom,atma,karuṇāya
karj,,1,para,karj
karR,,10,para,karṇ
kartr,,10,para,kartr
kartrIya,,denom,para,kartrīya
kard,,1,para,kard
karb,,1,para,karb
karv,,1,para,karv
kal,1,1,atma,kal
kal,2,10,para,kal
kalaNkaya,,denom,para,kalaṅkaya
kalaya,1,denom,para,kalaya
kalahAya,,denom,atma,kalahāya
kaluzaya,,denom,para,kaluṣaya
kaluzAya,,denom,atma,kaluṣāya
kall,,1,atma,kall
kav,,1,atma,kav
kav,,10,para,kav
kavalaya,,denom,para,kavalaya
kaS,,1,para,kaś
kaz,,1,para,kaṣ
kazwAya,,denom,atma,kaṣṭāya
kas,1,1,para,kas
kAMs,,1,atma,kāṃs
kANkz,,1,para,kāṅkṣ
kAYc,,1,atma,kāñc
kAntAya,,denom,atma,kāntāya
kAmukAya,,denom,atma,kāmukāya
kArmukAya,,denom,atma,kārmukāya
kAlaya,,denom,para,kālaya
kAS,,1,atma,kāś
kAS,,4,para,kāś
kAs,1,1,atma,kās
ki,2,3,para,ki
kiw,,1,para,kiṭ
kiwakiwApaya,,denom,para,kiṭakiṭāpaya
kiwakiwAya,,denom,atma,kiṭakiṭāya
kit,,3,para,kit
kil,,6,para,kil
kil,,10,para,kil
kilakilAya,,denom,atma,kilakilāya
kilikilaya,,denom,para,kilikilaya
kilikilAya,,denom,atma,kilikilāya
kizk,,10,atma,kiṣk
kisalaya,2,denom,para,kisalaya
kIw,,10,para,kīṭ
kIrt,,10,para,kīrt
kIl,,1,para,kīl
kuMS,,1,para,kuṃś
kuMS,,10,para,kuṃś
kuMs,,1,para,kuṃs
kuMs,,10,para,kuṃs
kuk,,1,atma,kuk
kuc,,1,para,kuc
kuc,,6,para,kuc
kuj,,1,para,kuj
kuj,,6,para,kuj
kuYc,,1,para,kuñc
kuYj,,1,para,kuñj
kuw,,6,para,kuṭ
kuw,,4,para,kuṭ
kuw,,10,atma,kuṭ
kuwIya,,denom,para,kuṭīya
kuwumbaya,,denom,para,kuṭumbaya
kuww,,10,para,kuṭṭ
kuq,,6,para,kuḍ
kuqmalAya,,denom,atma,kuḍmalāya
kuR,,6,para,kuṇ
kuR,,10,para,kuṇ
kuRW,,1,para,kuṇṭh
kuRq,,1,para,kuṇḍ
kuRq,,1,atma,kuṇḍ
kuts,,10,para,kuts
kuts,,1,para,kuts
kuts,,4,para,kuts
kuT,,4,para,kuth
kud,,10,para,kud
kunT,,1,para,kunth
kunT,,9,para,kunth
kundr,,10,para,kundr
kup,1,4,para,kup
kup,2,10,para,kup
kumAraya,,denom,para,kumāraya
kumb,,6,para,kumb
kumb,,10,para,kumb
kur,,6,para,kur
kuraNgAya,,denom,atma,kuraṅgāya
kurkurIya,,denom,para,kurkurīya
kul,,1,para,kul
kuliSAya,,denom,atma,kuliśāya
kulyAya,,denom,atma,kulyāya
kuS,,4,para,kuś
kuz,,9,para,kuṣ
kusumaya,,denom,para,kusumaya
kuh,1,10,atma,kuh
kuhukuhAya,,denom,atma,kuhukuhāya
kU,1,2,para,kū
kU,1,1,atma,kū
kU,1,6,para,kū
kU,1,9,para,kū
kUj,,1,para,kūj
kUw,,10,para,kūṭ
kUq,1,6,para,kūḍ
kUq,2,10,para,kūḍ
kUR,,1,para,kūṇ
kUp,,10,para,kūp
kUpAya,,denom,atma,kūpāya
kUrd,,1,para,kūrd
kUl,1,1,para,kūl
kf,1,2,para,kṛ
kf,1,1,para,kṛ
kf,1,5,para,kṛ
kf,1,8,para,kṛ
kf,2,3,para,kṛ
kfcCrAya,,denom,atma,kṛcchrāya
kft,2,6,para,kṛt
kft,2,1,para,kṛt
kft,3,7,para,kṛt
kftaya,,denom,para,kṛtaya
kfp,2,6,atma,kṛp
kfp,2,10,para,kṛp
kfpaRAya,,denom,atma,kṛpaṇāya
kfpaya,,denom,para,kṛpaya
kfpAya,,denom,para,kṛpāya
kfS,,4,para,kṛś
kfz,1,1,para,kṛṣ
kfz,1,6,para,kṛṣ
kfzRAya,,denom,atma,kṛṣṇāya
kF,1,6,para,kṝ
kF,2,5,para,kṝ
kF,2,9,para,kṝ
kF,3,10,atma,kṝ
kxp,,1,atma,kḷp
kekAya,,denom,atma,kekāya
ketaya,,denom,para,ketaya
kep,,1,atma,kep
keyUrAya,,denom,atma,keyūrāya
kel,,1,para,kel
kelAya,,denom,atma,kelāya
kev,,1,atma,kev
kesarAya,,denom,atma,kesarāya
kE,,1,para,kai
kowAya,,denom,atma,koṭāya
kopAya,,denom,atma,kopāya
knaMs,,1,para,knaṃs
knaMs,,10,para,knaṃs
knaT,,1,para,knath
knas,,4,para,knas
knu,,9,para,knu
knU,,9,para,knū
knUy,,1,atma,knūy
kmar,,1,para,kmar
kraMS,,1,para,kraṃś
kraT,,1,para,krath
krand,,1,para,krand
krap,,1,atma,krap
kram,,1,para,kram
kram,,4,para,kram
krI,1,9,para,krī
krIq,,1,para,krīḍ
kruYc,1,1,para,kruñc
kruq,,6,para,kruḍ
kruq,,10,para,kruḍ
kruD,1,4,para,krudh
kruS,,1,para,kruś
klaT,,1,para,klath
kland,,1,para,kland
klam,,1,para,klam
klam,,4,para,klam
klav,,1,atma,klav
klid,,4,atma,klid
klind,1,1,para,klind
kliS,,9,para,kliś
kliS,,4,para,kliś
klIb,,1,atma,klīb
klIb,,10,atma,klīb
klIbAya,,denom,atma,klībāya
klu,,1,atma,klu
kleS,,1,atma,kleś
kvaR,,1,para,kvaṇ
kvaT,,1,atma,kvath
kzaj,,1,atma,kṣaj
kzaj,,10,para,kṣaj
kzad,1,1,atma,kṣad
kzan,1,8,para,kṣan
kzap,1,1,para,kṣap
kzap,2,10,para,kṣap
kzam,1,1,atma,kṣam
kzam,1,2,para,kṣam
kzam,1,4,para,kṣam
kzamApaya,,denom,atma,kṣamāpaya
kzamp,,1,para,kṣamp
kzamp,,10,para,kṣamp
kzar,,1,para,kṣar
kzar,,2,para,kṣar
kzal,2,10,para,kṣal
kzi,1,1,para,kṣi
kzi,2,2,para,kṣi
kzi,2,6,para,kṣi
kzi,4,1,para,kṣi
kzi,4,5,para,kṣi
kzi,4,9,para,kṣi
kziR,,8,para,kṣiṇ
kzip,1,6,para,kṣip
kzip,1,4,para,kṣip
kziv,,1,para,kṣiv
kziv,,4,para,kṣiv
kzIj,,1,para,kṣīj
kzIb,,1,para,kṣīb
kzIrAya,,denom,para,kṣīrāya
kzIrIya,,denom,para,kṣīrīya
kzu,1,2,para,kṣu
kzud,1,1,para,kṣud
kzud,1,7,para,kṣud
kzuD,1,4,para,kṣudh
kzup,,6,para,kṣup
kzuB,1,1,atma,kṣubh
kzuB,1,4,para,kṣubh
kzuB,1,5,para,kṣubh
kzuB,1,9,para,kṣubh
kzump,,1,para,kṣump
kzur,,6,para,kṣur
kzetrIya,,denom,para,kṣetrīya
kzepAya,,denom,atma,kṣepāya
kzE,,1,para,kṣai
kzow,,10,para,kṣoṭ
kzRu,,2,para,kṣṇu
kzmAy,,1,atma,kṣmāy
kzmIl,,1,para,kṣmīl
kzviq,1,1,para,kṣviḍ
kzviq,2,1,atma,kṣviḍ
kzviq,2,4,para,kṣviḍ
kzvel,,1,para,kṣvel
Kac,,1,para,khac
Kac,,9,para,khac
Kac,,10,para,khac
Kaj,,1,para,khaj
KaYj,1,1,para,khañj
Kaw,1,1,para,khaṭ
KawaKawAya,,denom,atma,khaṭakhaṭāya
Kaww,,10,para,khaṭṭ
Kawvaya,,denom,para,khaṭvaya
KawvIya,,denom,para,khaṭvīya
Kaq,,10,para,khaḍ
KaRaKaRAya,,denom,atma,khaṇakhaṇāya
KaRq,,1,atma,khaṇḍ
