name,prefix_type,name_IAST
aMSI,cvi,aṃśī
akzilakzI,cvi,akṣilakṣī
aKilI,cvi,akhilī
agocarI,cvi,agocarī
agraRI,cvi,agraṇī
agrataH,other,agrataḥ
aNgArasAt,other,aṅgārasāt
aNgI,cvi,aṅgī
aRU,cvi,aṇū
atiTI,cvi,atithī
adarSanI,cvi,adarśanī
anuhuM,other,anuhuṃ
antarI,cvi,antarī
anDI,cvi,andhī
anyat,other,anyat
anyaTA,DAc,anyathā
apasavyaM,other,apasavyaṃ
apAtrI,cvi,apātrī
apunar,other,apunar
aBinavI,cvi,abhinavī
aBipra,other,abhipra
aBimuKI,cvi,abhimukhī
aBisaMs,other,abhisaṃs
aByantarI,cvi,abhyantarī
aByASI,cvi,abhyāśī
amarI,cvi,amarī
amalI,cvi,amalī
amA,DAc,amā
amiTyA,DAc,amithyā
amftI,cvi,amṛtī
ayatnabAlavyajanI,cvi,ayatnabālavyajanī
araM,other,araṃ
arU,cvi,arū
alaM,other,alaṃ
alasI,cvi,alasī
alpI,cvi,alpī
avataMsI,cvi,avataṃsī
avitaTI,cvi,avitathī
aSakunI,cvi,aśakunī
aSokI,cvi,aśokī
asO,other,asau
asTirI,cvi,asthirī
ahaM,other,ahaṃ
AkulI,cvi,ākulī
AcAryI,cvi,ācāryī
AtmI,cvi,ātmī
ADI,cvi,ādhī
ApARqurI,cvi,āpāṇḍurī
AmuKI,cvi,āmukhī
AraktI,cvi,āraktī
ArdrI,cvi,ārdrī
AlohitI,cvi,ālohitī
AvarjanI,cvi,āvarjanī
Avir,other,āvir
Aviz,other,āviṣ
AsanI,cvi,āsanī
AharaRI,cvi,āharaṇī
AhutI,cvi,āhutī
inDani,other,indhani
iz,other,iṣ
ISvarI,cvi,īśvarī
uccakzU,cvi,uccakṣū
ucCezaRI,cvi,uccheṣaṇī
ut,other,ut
uttaralI,cvi,uttaralī
uttAnI,cvi,uttānī
uttAnIkf,other,uttānīkṛ
unmanI,cvi,unmanī
upakaraRI,cvi,upakaraṇī
upacitI,cvi,upacitī
upanizat,other,upaniṣat
upapra,other,upapra
upas,other,upas
upasaMs,other,upasaṃs
upahArI,cvi,upahārī
upADyAyI,cvi,upādhyāyī
upAyanI,cvi,upāyanī
urarI,cvi,urarī
urI,cvi,urī
uzRI,cvi,uṣṇī
UnI,cvi,ūnī
Uri,other,ūri
UrDvI,cvi,ūrdhvī
fjU,cvi,ṛjū
ekacittI,cvi,ekacittī
ekapakzI,cvi,ekapakṣī
ekAyanI,cvi,ekāyanī
ekI,cvi,ekī
OzaDI,cvi,auṣadhī
kakzI,cvi,kakṣī
kaWinI,cvi,kaṭhinī
kaWorI,cvi,kaṭhorī
kaRqI,cvi,kaṇḍī
kaTAvaSezI,cvi,kathāvaśeṣī
kaTI,cvi,kathī
kadambakI,cvi,kadambakī
kadarTI,cvi,kadarthī
kapilI,cvi,kapilī
kapiSI,cvi,kapiśī
karatalI,cvi,karatalī
karadI,cvi,karadī
karasTI,cvi,karasthī
karI,cvi,karī
karRapUrI,cvi,karṇapūrī
karRAvataMsI,cvi,karṇāvataṃsī
kalatrI,cvi,kalatrī
kaluzI,cvi,kaluṣī
kalkI,cvi,kalkī
kalpadrumI,cvi,kalpadrumī
kavalI,cvi,kavalī
kazAyI,cvi,kaṣāyī
kAMsI,cvi,kāṃsī
kAt,other,kāt
kAmakAraM,other,kāmakāraṃ
kAlI,cvi,kālī
kAzWI,cvi,kāṣṭhī
kiMkarI,cvi,kiṃkarī
kimpuruzI,cvi,kimpuruṣī
kukzigatI,cvi,kukṣigatī
kuwikuwI,cvi,kuṭikuṭī
kuwilI,cvi,kuṭilī
kutsI,cvi,kutsī
kuSalI,cvi,kuśalī
kUwI,cvi,kūṭī
kfcCrI,cvi,kṛcchrī
kftArTI,cvi,kṛtārthī
kfSI,cvi,kṛśī
kfzwamatI,cvi,kṛṣṭamatī
