form_slp1,form_iast,stem_slp1,stem_iast,tense,voice,person,number,class,derivation
aMSaya,aṃśaya,aMSa,aṃśa,imperative,active,2,sg,11,primary
aMSayata,aṃśayata,aMSa,aṃśa,imperative,active,2,pl,11,primary
aMSayatam,aṃśayatam,aMSa,aṃśa,imperative,active,2,du,11,primary
aMSayatas,aṃśayatas,aMSa,aṃśa,present,active,3,du,11,primary
aMSayatAm,aṃśayatām,aMSa,aṃśa,imperative,active,3,du,11,primary
aMSayati,aṃśayati,aMSa,aṃśa,present,active,3,sg,11,primary
aMSayatu,aṃśayatu,aMSa,aṃśa,imperative,active,3,sg,11,primary
aMSayate,aṃśayate,aMSa,aṃśa,present,middle,3,sg,11,primary
aMSayaTa,aṃśayatha,aMSa,aṃśa,present,active,2,pl,11,primary
aMSayaTas,aṃśayathas,aMSa,aṃśa,present,active,2,du,11,primary
aMSayaDvam,aṃśayadhvam,aMSa,aṃśa,imperative,middle,2,pl,11,primary
aMSayaDve,aṃśayadhve,aMSa,aṃśa,present,middle,2,pl,11,primary
aMSayantAm,aṃśayantām,aMSa,aṃśa,imperative,middle,3,pl,11,primary
aMSayanti,aṃśayanti,aMSa,aṃśa,present,active,3,pl,11,primary
aMSayantu,aṃśayantu,aMSa,aṃśa,imperative,active,3,pl,11,primary
aMSayante,aṃśayante,aMSa,aṃśa,present,middle,3,pl,11,primary
aMSayasi,aṃśayasi,aMSa,aṃśa,present,active,2,sg,11,primary
aMSayase,aṃśayase,aMSa,aṃśa,present,middle,2,sg,11,primary
aMSayasva,aṃśayasva,aMSa,aṃśa,imperative,middle,2,sg,11,primary
aMSayAni,aṃśayāni,aMSa,aṃśa,imperative,active,1,sg,11,primary
aMSayAma,aṃśayāma,aMSa,aṃśa,imperative,active,1,pl,11,primary
aMSayAmas,aṃśayāmas,aMSa,aṃśa,present,active,1,pl,11,primary
aMSayAmahe,aṃśayāmahe,aMSa,aṃśa,present,middle,1,pl,11,primary
aMSayAmahE,aṃśayāmahai,aMSa,aṃśa,imperative,middle,1,pl,11,primary
aMSayAmi,aṃśayāmi,aMSa,aṃśa,present,active,1,sg,11,primary
aMSayAva,aṃśayāva,aMSa,aṃśa,imperative,active,1,du,11,primary
aMSayAvas,aṃśayāvas,aMSa,aṃśa,present,active,1,du,11,primary
aMSayAvahe,aṃśayāvahe,aMSa,aṃśa,present,middle,1,du,11,primary
aMSayAvahE,aṃśayāvahai,aMSa,aṃśa,imperative,middle,1,du,11,primary
aMSayitA,aṃśayitā,aMSa,aṃśa,periphrastic_future,active,3,sg,,primary
aMSayitAras,aṃśayitāras,aMSa,aṃśa,periphrastic_future,active,3,pl,,primary
aMSayitArO,aṃśayitārau,aMSa,aṃśa,periphrastic_future,active,3,du,,primary
aMSayitAsi,aṃśayitāsi,aMSa,aṃśa,periphrastic_future,active,2,sg,,primary
