Root,Class,Derivation,Tense,Voice,Person,Number,Expected (INRIA),Actual (FST)
bhū,1 (primary),primary,perfect,active,2,sg,babhūtha OR babhūvitha,babhūvitha
bhū,1 (intensive),intensive,present,active,1,sg,bobhavīmi OR bobhomi,bobhavmi OR bobhavīmi OR bobhomi OR bobhvīmi
bhū,1 (intensive),intensive,present,active,1,du,bobhavvaḥ OR bobhovaḥ,bobhavvaḥ OR bobhovaḥ OR bobhūvaḥ
bhū,1 (intensive),intensive,present,active,1,pl,bobhavmaḥ OR bobhomaḥ,bobhavmaḥ OR bobhomaḥ OR bobhūmaḥ
bhū,1 (intensive),intensive,present,active,2,sg,bobhavīṣi OR bobhoṣi,bobhavsi OR bobhavīṣi OR bobhoṣi OR bobhvīṣi
bhū,1 (intensive),intensive,present,active,2,du,bobhavthaḥ OR bobhothaḥ,bobhavthaḥ OR bobhothaḥ OR bobhūthaḥ
bhū,1 (intensive),intensive,present,active,2,pl,bobhavtha OR bobhotha,bobhavtha OR bobhotha OR bobhūtha
bhū,1 (intensive),intensive,present,active,3,sg,bobhavīti OR bobhoti,bobhavti OR bobhavīti OR bobhoti OR bobhvīti
bhū,1 (intensive),intensive,present,active,3,du,bobhavtaḥ OR bobhotaḥ,bobhavtaḥ OR bobhotaḥ OR bobhūtaḥ
bhū,1 (intensive),intensive,imperfect,active,1,du,abobhavva OR abobhova,abobhavva OR abobhova OR abobhūva
bhū,1 (intensive),intensive,imperfect,active,1,pl,abobhavma OR abobhoma,abobhavma OR abobhoma OR abobhūma
bhū,1 (intensive),intensive,imperfect,active,2,sg,abobhavīt OR abobhavīḥ OR abobhoḥ,abobhavīḥ OR abobhavḥ OR abobhoḥ OR abobhvīḥ
bhū,1 (intensive),intensive,imperfect,active,2,du,abobhavtam OR abobhotam,abobhavtam OR abobhotam OR abobhūtam
bhū,1 (intensive),intensive,imperfect,active,2,pl,abobhavta OR abobhota,abobhavta OR abobhota OR abobhūta
bhū,1 (intensive),intensive,imperfect,active,3,du,abobhavtām OR abobhotām,abobhavtām OR abobhotām OR abobhūtām
bhū,1 (intensive),intensive,imperative,active,2,sg,bobhavdhi OR bobhohi,bobhavdhi OR bobhavhi OR bobhavtāt OR bobhodhi OR bobhohi OR bobhotāt OR bobhūdhi OR bobhūhi OR bobhūtāt
bhū,1 (intensive),intensive,imperative,active,2,du,bobhavtam OR bobhotam,bobhavtam OR bobhotam OR bobhūtam
bhū,1 (intensive),intensive,imperative,active,2,pl,bobhavta OR bobhota,bobhavta OR bobhota OR bobhūta
bhū,1 (intensive),intensive,imperative,active,3,sg,bobhavītu OR bobhotu,bobhavtu OR bobhavtāt OR bobhavītu OR bobhavītāt OR bobhotu OR bobhotāt OR bobhvītu OR bobhvītāt
bhū,1 (intensive),intensive,imperative,active,3,du,bobhavtām OR bobhotām,bobhavtām OR bobhotām OR bobhūtām
hu,3 (primary),primary,perfect,active,2,sg,juhavitha OR juhotha,juhavitha
hu,3 (intensive),intensive,present,active,1,sg,johavīmi OR johomi,johavmi OR johavīmi OR johomi OR johvīmi
hu,3 (intensive),intensive,present,active,2,sg,johavīṣi OR johoṣi,johavsi OR johavīṣi OR johoṣi OR johvīṣi
hu,3 (intensive),intensive,present,active,3,sg,johavīti OR johoti,johavti OR johavīti OR johoti OR johvīti
hu,3 (intensive),intensive,imperfect,active,2,sg,ajohavīt OR ajohavīḥ OR ajohoḥ,ajohavīḥ OR ajohavḥ OR ajohoḥ OR ajohvīḥ
