english,stem_iast
father,pitṛ
mother,mātṛ
son,putra
daughter,putrī
child,apatya
brother,bhrātṛ
sister,svasṛ
sister,bhaginī
sibling,sahodara
grandfather,pitāmaha
grandmother,pitāmahī
maternal grandfather,mātāmaha
maternal grandmother,mātāmahī
grandson,pautra
granddaughter,pautrī
paternal uncle,pitṛvya
maternal uncle,mātula
paternal aunt,pitṛṣvasṛ
maternal aunt,mātṛṣvasṛ
cousin,sapiṇḍa
cousin,bāndhava
relative,bāndhava
relation,sambandhin
husband,pati
husband,bhartṛ
wife,patnī
wife,bhāryā
spouse,dampatī
bride,vadhū
bridegroom,vara
son-in-law,jāmātṛ
daughter-in-law,snuṣā
father-in-law,śvaśura
mother-in-law,śvaśrū
brother-in-law,śyāla
brother-in-law,devara
sister-in-law,nanāndṛ
nephew,bhrātṛputra
nephew,bhāgineya
niece,bhrātṛputrī
niece,bhāgineyī
stepfather,upapitṛ
stepmother,upamātṛ
stepson,upaputra
stepdaughter,upaputrī
adopted son,dattakaputra
adopted daughter,dattakaputrī
family,kuṭumba
family,parivāra
lineage,vaṃśa
clan,kula
ancestor,pūrvaja
descendant,vaṃśaja
household,gṛha
kinship,bāndhavya
